Accuracy: 56.64% | eta: 0.05 | max_depth: 29 | epochs: 10
Accuracy: 55.12% | eta: 0.060000000000000005 | max_depth: 29 | epochs: 10
Accuracy: 55.75% | eta: 0.06999999999999999 | max_depth: 29 | epochs: 10
Accuracy: 56.01% | eta: 0.08 | max_depth: 29 | epochs: 10
Accuracy: 55.25% | eta: 0.09 | max_depth: 29 | epochs: 10
Accuracy: 54.61% | eta: 0.09999999999999999 | max_depth: 29 | epochs: 10
Accuracy: 58.03% | eta: 0.11 | max_depth: 29 | epochs: 10
Accuracy: 55.75% | eta: 0.12 | max_depth: 29 | epochs: 10
Accuracy: 56.26% | eta: 0.13 | max_depth: 29 | epochs: 10
Accuracy: 55.37% | eta: 0.14 | max_depth: 29 | epochs: 10
Accuracy: 53.86% | eta: 0.15000000000000002 | max_depth: 29 | epochs: 10
Accuracy: 57.40% | eta: 0.16 | max_depth: 29 | epochs: 10
Accuracy: 57.65% | eta: 0.17 | max_depth: 29 | epochs: 10
Accuracy: 56.51% | eta: 0.18000000000000002 | max_depth: 29 | epochs: 10
Accuracy: 54.87% | eta: 0.19 | max_depth: 29 | epochs: 10
Accuracy: 55.37% | eta: 0.2 | max_depth: 29 | epochs: 10
Accuracy: 54.24% | eta: 0.01 | max_depth: 30 | epochs: 10
Accuracy: 56.38% | eta: 0.02 | max_depth: 30 | epochs: 10
Accuracy: 54.61% | eta: 0.03 | max_depth: 30 | epochs: 10
Accuracy: 57.02% | eta: 0.04 | max_depth: 30 | epochs: 10
Accuracy: 56.89% | eta: 0.05 | max_depth: 30 | epochs: 10
Accuracy: 56.38% | eta: 0.060000000000000005 | max_depth: 30 | epochs: 10
Accuracy: 57.40% | eta: 0.06999999999999999 | max_depth: 30 | epochs: 10
Accuracy: 54.49% | eta: 0.08 | max_depth: 30 | epochs: 10
Accuracy: 55.50% | eta: 0.09 | max_depth: 30 | epochs: 10
Accuracy: 54.87% | eta: 0.09999999999999999 | max_depth: 30 | epochs: 10
Accuracy: 55.75% | eta: 0.11 | max_depth: 30 | epochs: 10
Accuracy: 57.14% | eta: 0.12 | max_depth: 30 | epochs: 10
Accuracy: 56.26% | eta: 0.13 | max_depth: 30 | epochs: 10
Accuracy: 54.24% | eta: 0.14 | max_depth: 30 | epochs: 10
Accuracy: 56.13% | eta: 0.15000000000000002 | max_depth: 30 | epochs: 10
Accuracy: 57.02% | eta: 0.16 | max_depth: 30 | epochs: 10
Accuracy: 55.63% | eta: 0.17 | max_depth: 30 | epochs: 10
Accuracy: 56.13% | eta: 0.18000000000000002 | max_depth: 30 | epochs: 10
Accuracy: 57.02% | eta: 0.19 | max_depth: 30 | epochs: 10
Accuracy: 55.25% | eta: 0.2 | max_depth: 30 | epochs: 10
Accuracy: 54.24% | eta: 0.01 | max_depth: 31 | epochs: 10
Accuracy: 55.88% | eta: 0.02 | max_depth: 31 | epochs: 10
Accuracy: 55.25% | eta: 0.03 | max_depth: 31 | epochs: 10
Accuracy: 56.76% | eta: 0.04 | max_depth: 31 | epochs: 10
Accuracy: 55.75% | eta: 0.05 | max_depth: 31 | epochs: 10
Accuracy: 55.88% | eta: 0.060000000000000005 | max_depth: 31 | epochs: 10
Accuracy: 56.13% | eta: 0.06999999999999999 | max_depth: 31 | epochs: 10
Accuracy: 55.88% | eta: 0.08 | max_depth: 31 | epochs: 10
Accuracy: 57.40% | eta: 0.09 | max_depth: 31 | epochs: 10
Accuracy: 57.65% | eta: 0.09999999999999999 | max_depth: 31 | epochs: 10
Accuracy: 56.26% | eta: 0.11 | max_depth: 31 | epochs: 10
Accuracy: 56.26% | eta: 0.12 | max_depth: 31 | epochs: 10
Accuracy: 56.89% | eta: 0.13 | max_depth: 31 | epochs: 10
Accuracy: 54.99% | eta: 0.14 | max_depth: 31 | epochs: 10
Accuracy: 56.13% | eta: 0.15000000000000002 | max_depth: 31 | epochs: 10
Accuracy: 57.90% | eta: 0.16 | max_depth: 31 | epochs: 10
Accuracy: 56.26% | eta: 0.17 | max_depth: 31 | epochs: 10
Accuracy: 54.99% | eta: 0.18000000000000002 | max_depth: 31 | epochs: 10
Accuracy: 55.75% | eta: 0.19 | max_depth: 31 | epochs: 10
Accuracy: 55.75% | eta: 0.2 | max_depth: 31 | epochs: 10
Accuracy: 54.24% | eta: 0.01 | max_depth: 32 | epochs: 10
Accuracy: 56.89% | eta: 0.02 | max_depth: 32 | epochs: 10
Accuracy: 55.12% | eta: 0.03 | max_depth: 32 | epochs: 10
Accuracy: 56.38% | eta: 0.04 | max_depth: 32 | epochs: 10
Accuracy: 56.01% | eta: 0.05 | max_depth: 32 | epochs: 10
Accuracy: 55.63% | eta: 0.060000000000000005 | max_depth: 32 | epochs: 10
Accuracy: 54.99% | eta: 0.06999999999999999 | max_depth: 32 | epochs: 10
Accuracy: 56.51% | eta: 0.08 | max_depth: 32 | epochs: 10
Accuracy: 56.38% | eta: 0.09 | max_depth: 32 | epochs: 10
Accuracy: 56.01% | eta: 0.09999999999999999 | max_depth: 32 | epochs: 10
Accuracy: 56.26% | eta: 0.11 | max_depth: 32 | epochs: 10
Accuracy: 56.13% | eta: 0.12 | max_depth: 32 | epochs: 10
Accuracy: 56.13% | eta: 0.13 | max_depth: 32 | epochs: 10
Accuracy: 55.63% | eta: 0.14 | max_depth: 32 | epochs: 10
Accuracy: 54.36% | eta: 0.15000000000000002 | max_depth: 32 | epochs: 10
Accuracy: 55.88% | eta: 0.16 | max_depth: 32 | epochs: 10
Accuracy: 56.38% | eta: 0.17 | max_depth: 32 | epochs: 10
Accuracy: 58.03% | eta: 0.18000000000000002 | max_depth: 32 | epochs: 10
Accuracy: 57.14% | eta: 0.19 | max_depth: 32 | epochs: 10
Accuracy: 54.99% | eta: 0.2 | max_depth: 32 | epochs: 10
Accuracy: 54.24% | eta: 0.01 | max_depth: 33 | epochs: 10
Accuracy: 56.26% | eta: 0.02 | max_depth: 33 | epochs: 10
Accuracy: 55.25% | eta: 0.03 | max_depth: 33 | epochs: 10
Accuracy: 57.02% | eta: 0.04 | max_depth: 33 | epochs: 10
Accuracy: 57.14% | eta: 0.05 | max_depth: 33 | epochs: 10
Accuracy: 56.51% | eta: 0.060000000000000005 | max_depth: 33 | epochs: 10
Accuracy: 56.76% | eta: 0.06999999999999999 | max_depth: 33 | epochs: 10
Accuracy: 56.26% | eta: 0.08 | max_depth: 33 | epochs: 10
Accuracy: 55.75% | eta: 0.09 | max_depth: 33 | epochs: 10
Accuracy: 54.99% | eta: 0.09999999999999999 | max_depth: 33 | epochs: 10
Accuracy: 56.76% | eta: 0.11 | max_depth: 33 | epochs: 10
Accuracy: 55.37% | eta: 0.12 | max_depth: 33 | epochs: 10
Accuracy: 55.88% | eta: 0.13 | max_depth: 33 | epochs: 10
Accuracy: 55.25% | eta: 0.14 | max_depth: 33 | epochs: 10
Accuracy: 54.61% | eta: 0.15000000000000002 | max_depth: 33 | epochs: 10
Accuracy: 54.61% | eta: 0.16 | max_depth: 33 | epochs: 10
Accuracy: 55.75% | eta: 0.17 | max_depth: 33 | epochs: 10
Accuracy: 54.11% | eta: 0.18000000000000002 | max_depth: 33 | epochs: 10
Accuracy: 55.12% | eta: 0.19 | max_depth: 33 | epochs: 10
Accuracy: 54.61% | eta: 0.2 | max_depth: 33 | epochs: 10
Accuracy: 54.24% | eta: 0.01 | max_depth: 34 | epochs: 10
Accuracy: 56.51% | eta: 0.02 | max_depth: 34 | epochs: 10
Accuracy: 55.88% | eta: 0.03 | max_depth: 34 | epochs: 10
Accuracy: 56.64% | eta: 0.04 | max_depth: 34 | epochs: 10
Accuracy: 56.51% | eta: 0.05 | max_depth: 34 | epochs: 10
Accuracy: 54.74% | eta: 0.060000000000000005 | max_depth: 34 | epochs: 10
Accuracy: 56.38% | eta: 0.06999999999999999 | max_depth: 34 | epochs: 10
Accuracy: 55.12% | eta: 0.08 | max_depth: 34 | epochs: 10
Accuracy: 57.14% | eta: 0.09 | max_depth: 34 | epochs: 10
Accuracy: 55.25% | eta: 0.09999999999999999 | max_depth: 34 | epochs: 10
Accuracy: 58.41% | eta: 0.11 | max_depth: 34 | epochs: 10
Accuracy: 55.75% | eta: 0.12 | max_depth: 34 | epochs: 10
Accuracy: 56.13% | eta: 0.13 | max_depth: 34 | epochs: 10
Accuracy: 57.40% | eta: 0.14 | max_depth: 34 | epochs: 10
Accuracy: 53.22% | eta: 0.15000000000000002 | max_depth: 34 | epochs: 10
Accuracy: 54.61% | eta: 0.16 | max_depth: 34 | epochs: 10
Accuracy: 54.61% | eta: 0.17 | max_depth: 34 | epochs: 10
Accuracy: 54.99% | eta: 0.18000000000000002 | max_depth: 34 | epochs: 10
Accuracy: 55.37% | eta: 0.19 | max_depth: 34 | epochs: 10
Accuracy: 56.51% | eta: 0.2 | max_depth: 34 | epochs: 10
Accuracy: 54.24% | eta: 0.01 | max_depth: 35 | epochs: 10
Accuracy: 56.51% | eta: 0.02 | max_depth: 35 | epochs: 10
Accuracy: 56.26% | eta: 0.03 | max_depth: 35 | epochs: 10
Accuracy: 56.01% | eta: 0.04 | max_depth: 35 | epochs: 10
Accuracy: 57.02% | eta: 0.05 | max_depth: 35 | epochs: 10
Accuracy: 56.64% | eta: 0.060000000000000005 | max_depth: 35 | epochs: 10
Accuracy: 53.86% | eta: 0.06999999999999999 | max_depth: 35 | epochs: 10
Accuracy: 55.25% | eta: 0.08 | max_depth: 35 | epochs: 10
Accuracy: 56.64% | eta: 0.09 | max_depth: 35 | epochs: 10
Accuracy: 57.65% | eta: 0.09999999999999999 | max_depth: 35 | epochs: 10
Accuracy: 58.66% | eta: 0.11 | max_depth: 35 | epochs: 10
